ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced,CP335,34010110.XLS,34020110.XLS,ETDP1826,HPT34618,CNTR4805,IPV949,precio_venta_m2,precio_alq_m2
1986,1,,,,,,,,,,,,38531195.0,,,,,,,,
1986,2,,,,,,,,,,,,,,,,,,,,
1986,3,,,,,,,,,,14.500,,,,,,,,,,
1986,4,,,,,,,,,,,,,,,,,,,,
1986,5,,,,,,,,,,,,,,,,,,,,
1986,6,,,,,,,,,,14.250,,,,,,,,,,
1986,7,,,,,,,,,,,,38571941.0,,,,,,,,
1986,8,,,,,,,,,,,9.510,,,,,,,,,
1986,9,,,,,,,,,,14.000,9.420,,,,,,,,,
1986,10,,,,,,,,,,,9.370,,,,,,,,,
1986,11,,,,,,,,,,,8.970,,,,,,,,,
1986,12,,,,,,,,,,13.500,8.970,,,,,,,,,
1987,1,,,,,,,,,,,8.970,38638052.0,,,,,,,,
1987,2,,,,,,,,,,,8.980,,,,,,,,,
1987,3,,,,,,,,,,13.000,8.950,,,,,,,,,
1987,4,,,,,,,,,,,8.950,,,,,,,,,
1987,5,,,,,,,,,,,9.260,,,,,,,,,
1987,6,,,,,,,,,,13.500,9.840,,,,,,,,,
1987,7,,,,,,,,,,,9.850,38682322.0,,,,,,,,
1987,8,,,,,,,,,,,9.850,,,,,,,,,
1987,9,,,,,,,,,,13.500,10.130,,,,,,,,,
1987,10,,,,,,,,,,,9.970,,,,,,,,,
1987,11,,,,,,,,,,,10.570,,,,,,,,,
