ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced,viviendas,date
2014,11,2.606,2.630,0.335,0.335,0.420,0.883,,,,,1.637,25268.0,2014-11-01
2014,12,2.557,2.530,0.329,0.329,0.401,0.828,,,,1.500,1.400,25869.0,2014-12-01
2015,1,2.436,2.520,0.298,0.298,0.318,0.758,,,,,0.979,33379.0,2015-01-01
2015,2,2.457,2.53,0.255,0.255,0.302,0.712,,,,,0.981,30032.0,2015-02-01
2015,3,2.324,2.470,0.212,0.212,0.275,0.655,,,,1.25,0.927,27337.0,2015-03-01
2015,4,2.251,2.454,0.180,0.180,0.216,0.585,,,,,0.864,27284.0,2015-04-01
2015,5,2.156,2.400,0.165,0.165,0.384,0.535,,,,,0.618,29467.0,2015-05-01
2015,6,2.161,2.330,0.163,0.163,0.521,0.555,,,,1.000,0.552,30861.0,2015-06-01
2015,7,2.152,2.250,0.167,0.167,0.463,0.573,,,,,0.457,32736.0,2015-07-01
2015,8,2.182,2.260,0.161,0.161,0.395,0.579,,,,,0.479,29512.0,2015-08-01
2015,9,2.117,2.280,0.154,0.154,0.390,0.641,,,,1.000,0.491,30867.0,2015-09-01
2015,10,2.127,2.360,0.128,0.128,0.315,0.665,,,,,0.549,27564.0,2015-10-01
2015,11,2.132,2.320,0.079,0.079,0.231,0.654,,,,,0.620,28808.0,2015-11-01
2015,12,2.054,2.320,0.059,0.059,0.266,0.597,,,,1.000,0.705,27709.0,2015-12-01
2016,1,2.014,2.270,0.042,0.042,0.202,0.545,,,,,0.794,32569.0,2016-01-01
2016,2,2.007,2.230,0.008,0.008,0.047,0.525,,,,,0.824,35174.0,2016-02-01
2016,3,1.919,2.200,0.012,0.012,0.025,0.455,,,,1.000,0.851,31877.0,2016-03-01
2016,4,2.030,2.090,0.010,0.010,0.024,0.423,,,,,0.865,35256.0,2016-04-01
2016,5,1.890,2.100,0.013,0.013,0.020,0.388,,,,,0.840,36406.0,2016-05-01
2016,6,1.970,2.030,0.028,0.028,0.040,0.358,,,,1.000,0.671,37000.0,2016-06-01
2016,7,2.007,2.000,0.056,0.056,0.140,0.306,,,,,0.646,33257.0,2016-07-01
2016,8,1.957,1.960,0.048,0.048,0.133,0.224,,,,,0.573,35586.0,2016-08-01
2016,9,1.903,1.960,0.057,0.057,0.131,0.165,,,,1.250,0.444,34797.0,2016-09-01
2016,10,1.921,1.980,0.069,0.069,0.065,0.110,,,,,0.245,29608.0,2016-10-01
2016,11,1.936,1.900,0.074,0.074,0.083,0.105,,,,,0.248,34347.0,2016-11-01
2016,12,1.874,1.910,0.080,0.080,0.118,0.078,,,,1.000,0.364,29508.0,2016-12-01
2017,1,1.928,1.880,0.095,0.095,0.122,0.087,,,,,0.479,38410.0,2017-01-01
2017,2,1.881,1.870,0.106,0.106,0.146,0.136,,,,,0.479,35699.0,2017-02-01
2017,3,1.879,1.890,0.110,0.110,0.232,0.179,,,,1.000,0.482,40856.0,2017-03-01
2017,4,1.906,1.880,0.119,0.119,0.163,0.215,,,,,0.612,32393.0,2017-04-01
2017,5,1.947,1.900,0.127,0.127,0.208,0.205,,,,,0.596,45080.0,2017-05-01
2017,6,1.913,1.900,0.149,0.149,0.160,0.187,,,,1.000,0.531,43922.0,2017-06-01
2017,7,1.929,1.910,0.154,0.154,0.287,0.183,,,,,0.391,39500.0,2017-07-01
2017,8,1.953,1.910,0.156,0.156,0.208,0.142,,,,,0.391,41577.0,2017-08-01
2017,9,1.873,2.000,0.168,0.168,0.198,0.104,,,,1.000,0.398,38992.0,2017-09-01
2017,10,1.904,1.930,0.180,0.180,0.233,0.074,,,,,0.191,37594.0,2017-10-01
2017,11,1.910,1.920,0.189,0.189,0.203,0.065,,,,,0.180,41016.0,2017-11-01
2017,12,1.902,1.930,0.190,0.190,0.237,0.073,,,,1.000,0.197,32605.0,2017-12-01
2018,1,1.938,1.860,0.189,0.189,0.369,0.070,,,,,0.208,47735.0,2018-01-01
2018,2,1.900,1.870,0.191,0.191,0.480,0.093,,,,,0.226,41497.0,2018-02-01
2018,3,1.895,1.880,0.191,0.191,0.425,0.108,,,,1.000,0.192,39932.0,2018-03-01
2018,4,1.905,1.840,0.190,0.190,0.388,0.107,,,,,0.343,42363.0,2018-04-01
2018,5,1.892,1.850,0.188,0.188,0.381,0.119,,,,,0.532,47052.0,2018-05-01
2018,6,1.862,1.870,0.181,0.181,0.318,0.136,,,,1.000,0.545,44990.0,2018-06-01
2018,7,1.854,1.820,0.180,0.180,0.279,0.136,,,,,0.883,46148.0,2018-07-01
2018,8,1.932,1.850,0.169,0.169,0.291,0.120,,,,,0.793,44834.0,2018-08-01
2018,9,1.891,1.820,0.166,0.166,0.337,0.134,,,,1.000,0.315,43174.0,2018-09-01
2018,10,1.932,1.820,0.154,0.154,0.397,0.189,,,,,0.379,43482.0,2018-10-01
2018,11,2.009,1.800,0.147,0.147,0.333,0.218,,,,,0.340,42623.0,2018-11-01
2018,12,2.037,1.850,0.129,0.129,0.254,0.217,,,,1.250,0.210,34154.0,2018-12-01
2019,1,2.022,1.810,0.116,0.116,0.183,0.221,,,,,0.216,48202.0,2019-01-01
2019,2,2.056,1.810,0.108,0.108,0.133,0.223,,,,,0.240,44064.0,2019-02-01
2019,3,2.039,1.840,0.109,0.109,0.090,0.196,,,,1.250,0.242,42765.0,2019-03-01
2019,4,2.017,1.800,0.112,0.112,0.039,0.136,,,,,0.189,41199.0,2019-04-01
2019,5,2.052,1.770,0.134,0.134,0.023,0.066,,,,,0.218,48351.0,2019-05-01
2019,6,2.041,1.790,0.190,0.190,0.171,0.008,,,,1.000,0.363,41437.0,2019-06-01
2019,7,1.836,1.730,0.283,0.283,0.274,0.070,,,,,0.262,48337.0,2019-07-01
2019,8,1.913,1.710,0.356,0.356,0.460,0.143,,,,,0.209,35723.0,2019-08-01
2019,9,1.825,1.680,0.339,0.339,0.432,0.201,,,,0.750,0.238,38279.0,2019-09-01
2019,10,1.806,1.640,0.304,0.304,0.322,0.252,,,,,0.188,43356.0,2019-10-01
2019,11,1.803,1.590,0.272,0.272,0.220,0.272,,,,,0.074,38919.0,2019-11-01
2019,12,1.807,1.590,0.261,0.261,0.181,0.264,,,,0.750,0.062,34835.0,2019-12-01
2020,1,1.825,1.580,0.253,0.253,0.186,0.235,,,,,0.059,46927.0,2020-01-01
2020,2,1.816,1.520,0.288,0.288,0.303,0.219,,,,,0.058,44104.0,2020-02-01
2020,3,1.765,1.540,0.266,0.266,0.282,0.166,,,,0.750,0.040,34806.0,2020-03-01
2020,4,1.754,1.550,0.108,0.108,0.224,0.075,,,,,0.092,25042.0,2020-04-01
2020,5,1.745,1.540,0.081,0.081,0.292,0.049,,,,,0.093,22394.0,2020-05-01
2020,6,1.744,1.580,0.147,0.147,0.300,0.054,,,,0.500,0.114,27221.0,2020-06-01
2020,7,1.745,1.640,0.279,0.279,0.363,0.070,,,,,0.113,32654.0,2020-07-01
2020,8,1.743,1.580,0.359,0.359,0.380,0.077,,,,,0.112,31394.0,2020-08-01
2020,9,1.700,1.610,0.415,0.415,0.418,0.133,,,,0.750,0.145,,2020-09-01
